Error: missing newline in D:\VuGen\Scripts2\Script\UC1_ReservAdd\..\fileDat\users.dat	[MsgId: MERR-13874]
../fileDat/lib.h(18): web_reg_find started  	[MsgId: MMSG-26355]
../fileDat/lib.h(18): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
../fileDat/lib.h(19): web_submit_data("login.pl") started  	[MsgId: MMSG-26355]
../fileDat/lib.h(19): Notify: Parameter Substitution: parameter "userSession" =  "137699.412960713HAicQVDpfftVzzzHtctQHptiVDcf"	[MsgId: MMSG-13992]
../fileDat/lib.h(19): Notify: Parameter Substitution: parameter "login" =  "jojo"	[MsgId: MMSG-13992]
../fileDat/lib.h(19): Notify: Next row for parameter password = 1 [table  = password].	[MsgId: MMSG-13876]
../fileDat/lib.h(19): Notify: Parameter Substitution: parameter "password" =  "bean"	[MsgId: MMSG-13992]
../fileDat/lib.h(19): Detected non-resource "http://localhost:1080/cgi-bin/nav.pl?page=menu&in=home" in "http://localhost:1080/cgi-bin/login.pl"  	[MsgId: MMSG-26574]
../fileDat/lib.h(19): Detected non-resource "http://localhost:1080/cgi-bin/login.pl?intro=true" in "http://localhost:1080/cgi-bin/login.pl"  	[MsgId: MMSG-26574]
../fileDat/lib.h(19): Found resource "http://localhost:1080/WebTours/images/flights.gif" in HTML "http://localhost:1080/cgi-bin/nav.pl?page=menu&in=home"  	[MsgId: MMSG-26659]
../fileDat/lib.h(19): Found resource "http://localhost:1080/WebTours/images/itinerary.gif" in HTML "http://localhost:1080/cgi-bin/nav.pl?page=menu&in=home"  	[MsgId: MMSG-26659]
../fileDat/lib.h(19): Found resource "http://localhost:1080/WebTours/images/in_home.gif" in HTML "http://localhost:1080/cgi-bin/nav.pl?page=menu&in=home"  	[MsgId: MMSG-26659]
../fileDat/lib.h(19): Found resource "http://localhost:1080/WebTours/images/signoff.gif" in HTML "http://localhost:1080/cgi-bin/nav.pl?page=menu&in=home"  	[MsgId: MMSG-26659]
../fileDat/lib.h(19): Registered web_reg_find successful for "Text=Welcome, <b>jojo</b>, to the Web Tours reservation pages." (count=1)  	[MsgId: MMSG-26364]
../fileDat/lib.h(19): Registered web_reg_find successful for "Text=Using the menu to the left, you can search for new flights to book" (count=1)  	[MsgId: MMSG-26364]
../fileDat/lib.h(19): web_submit_data("login.pl") was successful, 5779 body bytes, 2035 header bytes, 36 chunking overhead bytes  	[MsgId: MMSG-26385]
Action.c(125): Notify: Transaction "LogIn" ended with a "Pass" status (Duration: 5,1412 Think Time: 5,0103 Wasted Time: 0,0000).	[MsgId: MMSG-16870]
Action.c(130): Notify: Transaction "ToFlightsPage" started.	[MsgId: MMSG-16999]
Action.c(132): web_remove_auto_header("Sec-Fetch-User") started  	[MsgId: MMSG-26355]
Action.c(132): Previous automatically added web header for "Sec-Fetch-User" removed  	[MsgId: MMSG-26587]
Action.c(132): web_remove/revert_auto_header("Sec-Fetch-User") was successful  	[MsgId: MMSG-26392]
Action.c(134): web_remove_auto_header("Upgrade-Insecure-Requests") started  	[MsgId: MMSG-26355]
Action.c(134): Previous automatically added web header for "Upgrade-Insecure-Requests" removed  	[MsgId: MMSG-26587]
Action.c(134): web_remove/revert_auto_header("Upgrade-Insecure-Requests") was successful  	[MsgId: MMSG-26392]
Action.c(136): lr_think_time: 5,00 seconds.	[MsgId: MMSG-15948]
Action.c(123): Notify: Parameter Substitution: parameter "userSession" =  "137699.413284731HAicQVDpfHAiDDDDtctQHptiVtcf"	[MsgId: MMSG-13992]
Action.c(123): Notify: Parameter Substitution: parameter "login" =  "timur"	[MsgId: MMSG-13992]
Action.c(123): Notify: Next row for parameter password = 7 [table  = password].	[MsgId: MMSG-13876]
Action.c(123): Notify: Parameter Substitution: parameter "password" =  "0000"	[MsgId: MMSG-13992]
../fileDat/lib.h(17): web_reg_find started  	[MsgId: MMSG-26355]
../fileDat/lib.h(17): Notify: Parameter Substitution: parameter "login" =  "timur"	[MsgId: MMSG-13992]
../fileDat/lib.h(17): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
../fileDat/lib.h(18): web_reg_find started  	[MsgId: MMSG-26355]
../fileDat/lib.h(18): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
../fileDat/lib.h(19): web_submit_data("login.pl") started  	[MsgId: MMSG-26355]
../fileDat/lib.h(19): Notify: Parameter Substitution: parameter "userSession" =  "137699.413284731HAicQVDpfHAiDDDDtctQHptiVtcf"	[MsgId: MMSG-13992]
../fileDat/lib.h(19): Notify: Parameter Substitution: parameter "login" =  "timur"	[MsgId: MMSG-13992]
../fileDat/lib.h(19): Notify: Next row for parameter password = 7 [table  = password].	[MsgId: MMSG-13876]
../fileDat/lib.h(19): Notify: Parameter Substitution: parameter "password" =  "0000"	[MsgId: MMSG-13992]
../fileDat/lib.h(19): Detected non-resource "http://localhost:1080/cgi-bin/nav.pl?page=menu&in=home" in "http://localhost:1080/cgi-bin/login.pl"  	[MsgId: MMSG-26574]
../fileDat/lib.h(19): Detected non-resource "http://localhost:1080/cgi-bin/login.pl?intro=true" in "http://localhost:1080/cgi-bin/login.pl"  	[MsgId: MMSG-26574]
../fileDat/lib.h(19): Found resource "http://localhost:1080/WebTours/images/flights.gif" in HTML "http://localhost:1080/cgi-bin/nav.pl?page=menu&in=home"  	[MsgId: MMSG-26659]
../fileDat/lib.h(19): Found resource "http://localhost:1080/WebTours/images/itinerary.gif" in HTML "http://localhost:1080/cgi-bin/nav.pl?page=menu&in=home"  	[MsgId: MMSG-26659]
../fileDat/lib.h(19): Found resource "http://localhost:1080/WebTours/images/in_home.gif" in HTML "http://localhost:1080/cgi-bin/nav.pl?page=menu&in=home"  	[MsgId: MMSG-26659]
../fileDat/lib.h(19): Found resource "http://localhost:1080/WebTours/images/signoff.gif" in HTML "http://localhost:1080/cgi-bin/nav.pl?page=menu&in=home"  	[MsgId: MMSG-26659]
../fileDat/lib.h(19): Registered web_reg_find successful for "Text=Welcome, <b>timur</b>, to the Web Tours reservation pages." (count=1)  	[MsgId: MMSG-26364]
../fileDat/lib.h(19): Registered web_reg_find successful for "Text=Using the menu to the left, you can search for new flights to book" (count=1)  	[MsgId: MMSG-26364]
../fileDat/lib.h(19): web_submit_data("login.pl") was successful, 5780 body bytes, 2044 header bytes, 36 chunking overhead bytes  	[MsgId: MMSG-26385]
Action.c(125): Notify: Transaction "LogIn" ended with a "Pass" status (Duration: 5,1135 Think Time: 5,0150 Wasted Time: 0,0000).	[MsgId: MMSG-16870]
Action.c(130): Notify: Transaction "ToFlightsPage" started.	[MsgId: MMSG-16999]
Action.c(132): web_remove_auto_header("Sec-Fetch-User") started  	[MsgId: MMSG-26355]
Action.c(132): Previous automatically added web header for "Sec-Fetch-User" removed  	[MsgId: MMSG-26587]
Action.c(132): web_remove/revert_auto_header("Sec-Fetch-User") was successful  	[MsgId: MMSG-26392]
Action.c(134): web_remove_auto_header("Upgrade-Insecure-Requests") started  	[MsgId: MMSG-26355]
Action.c(134): Previous automatically added web header for "Upgrade-Insecure-Requests" removed  	[MsgId: MMSG-26587]
Action.c(134): web_remove/revert_auto_header("Upgrade-Insecure-Requests") was successful  	[MsgId: MMSG-26392]
Action.c(136): lr_think_time: 5,00 seconds.	[MsgId: MMSG-15948]
Action.c(138): web_reg_save_param started  	[MsgId: MMSG-26355]
Action.c(138): Registering web_reg_save_param was successful  	[MsgId: MMSG-26390]
Action.c(145): web_reg_save_param started  	[MsgId: MMSG-26355]
Action.c(145): Registering web_reg_save_param was successful  	[MsgId: MMSG-26390]
Action.c(150): web_reg_save_param started  	[MsgId: MMSG-26355]
Action.c(150): Registering web_reg_save_param was successful  	[MsgId: MMSG-26390]
Action.c(156): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(156): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(157): web_url("Search Flights Button") started  	[MsgId: MMSG-26355]
Action.c(157): Detected non-resource "http://localhost:1080/cgi-bin/nav.pl?page=menu&in=flights" in "http://localhost:1080/cgi-bin/welcome.pl?page=search"  	[MsgId: MMSG-26574]
Action.c(157): Detected non-resource "http://localhost:1080/cgi-bin/reservations.pl?page=welcome" in "http://localhost:1080/cgi-bin/welcome.pl?page=search"  	[MsgId: MMSG-26574]
Action.c(157): Resource "http://pki.goog/repo/certs/gts1c3.der" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Action.c(157): Downloading resource "http://pki.goog/repo/certs/gtsr1.der" (specified by argument number 13)  	[MsgId: MMSG-26577]
Action.c(157): Found resource "http://localhost:1080/WebTours/images/in_flights.gif" in HTML "http://localhost:1080/cgi-bin/nav.pl?page=menu&in=flights"  	[MsgId: MMSG-26659]
Action.c(157): Resource "http://localhost:1080/WebTours/images/itinerary.gif" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Action.c(157): Found resource "http://localhost:1080/WebTours/images/home.gif" in HTML "http://localhost:1080/cgi-bin/nav.pl?page=menu&in=flights"  	[MsgId: MMSG-26659]
Action.c(157): Resource "http://localhost:1080/WebTours/images/signoff.gif" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Action.c(157): Notify: Saving Parameter "departcity_1 = Denver".	[MsgId: MMSG-13798]
Action.c(157): Notify: Saving Parameter "departcity_2 = Frankfurt".	[MsgId: MMSG-13798]
Action.c(157): Notify: Saving Parameter "departcity_3 = London".	[MsgId: MMSG-13798]
Action.c(157): Notify: Saving Parameter "departcity_4 = Los Angeles".	[MsgId: MMSG-13798]
Action.c(157): Notify: Saving Parameter "departcity_5 = Paris".	[MsgId: MMSG-13798]
Action.c(157): Notify: Saving Parameter "departcity_6 = Portland".	[MsgId: MMSG-13798]
Action.c(157): Notify: Saving Parameter "departcity_7 = San Francisco".	[MsgId: MMSG-13798]
Action.c(157): Notify: Saving Parameter "departcity_8 = Seattle".	[MsgId: MMSG-13798]
Action.c(157): Notify: Saving Parameter "departcity_9 = Sydney".	[MsgId: MMSG-13798]
Action.c(157): Notify: Saving Parameter "departcity_10 = Zurich".	[MsgId: MMSG-13798]
Action.c(157): Notify: Saving Parameter "departcity_11 = Denver".	[MsgId: MMSG-13798]
Action.c(157): Notify: Saving Parameter "departcity_12 = Frankfurt".	[MsgId: MMSG-13798]
Action.c(157): Notify: Saving Parameter "departcity_13 = London".	[MsgId: MMSG-13798]
Action.c(157): Notify: Saving Parameter "departcity_14 = Los Angeles".	[MsgId: MMSG-13798]
Action.c(157): Notify: Saving Parameter "departcity_15 = Paris".	[MsgId: MMSG-13798]
Action.c(157): Notify: Saving Parameter "departcity_16 = Portland".	[MsgId: MMSG-13798]
Action.c(157): Notify: Saving Parameter "departcity_17 = San Francisco".	[MsgId: MMSG-13798]
Action.c(157): Notify: Saving Parameter "departcity_18 = Seattle".	[MsgId: MMSG-13798]
Action.c(157): Notify: Saving Parameter "departcity_19 = Sydney".	[MsgId: MMSG-13798]
Action.c(157): Notify: Saving Parameter "departcity_20 = Zurich".	[MsgId: MMSG-13798]
Action.c(157): Notify: Saving Parameter "seatPref_1 = Aisle".	[MsgId: MMSG-13798]
Action.c(157): Notify: Saving Parameter "seatPref_2 = Window".	[MsgId: MMSG-13798]
Action.c(157): Notify: Saving Parameter "seatPref_3 = None".	[MsgId: MMSG-13798]
Action.c(157): Notify: Saving Parameter "seatType_1 = First".	[MsgId: MMSG-13798]
Action.c(157): Notify: Saving Parameter "seatType_2 = Business".	[MsgId: MMSG-13798]
Action.c(157): Notify: Saving Parameter "seatType_3 = Coach".	[MsgId: MMSG-13798]
Action.c(157): Found resource "http://localhost:1080/WebTours/images/button_next.gif" in HTML "http://localhost:1080/cgi-bin/reservations.pl?page=welcome"  	[MsgId: MMSG-26659]
Action.c(157): Warning -26604: Unsupported "Content-Encoding"  	[MsgId: MWAR-26604]
Action.c(157): Notify: Saving Parameter "departcity_count = 20".	[MsgId: MMSG-13798]
Action.c(157): Notify: Saving Parameter "seatPref_count = 3".	[MsgId: MMSG-13798]
Action.c(157): Notify: Saving Parameter "seatType_count = 3".	[MsgId: MMSG-13798]
Action.c(157): Registered web_reg_find successful for "Text=Find Flight" (count=1)  	[MsgId: MMSG-26364]
Action.c(157): web_url("Search Flights Button") highest severity level was "warning", 9795 body bytes, 2354 header bytes, 43 chunking overhead bytes  	[MsgId: MMSG-26387]
Action.c(170): Notify: Transaction "ToFlightsPage" ended with a "Pass" status (Duration: 5,1663 Think Time: 5,0054 Wasted Time: 0,0005).	[MsgId: MMSG-16870]
Action.c(175): Notify: Transaction "ReservTicket" started.	[MsgId: MMSG-16999]
Action.c(177): Notify: Parameter Substitution: parameter "departcity_count" =  "20"	[MsgId: MMSG-13992]
Action.c(177): Notify: Parameter Substitution: parameter "departcity_1" =  "Denver"	[MsgId: MMSG-13992]
Action.c(177): Notify: Saving Parameter "depart_City = Denver".	[MsgId: MMSG-13798]
Action.c(178): Notify: Parameter Substitution: parameter "departcity_count" =  "20"	[MsgId: MMSG-13992]
Action.c(178): Notify: Parameter Substitution: parameter "departcity_14" =  "Los Angeles"	[MsgId: MMSG-13992]
Action.c(178): Notify: Saving Parameter "arrive_City = Los Angeles".	[MsgId: MMSG-13798]
Action.c(179): Notify: Parameter Substitution: parameter "seatPref_count" =  "3"	[MsgId: MMSG-13992]
Action.c(179): Notify: Parameter Substitution: parameter "seatPref_1" =  "Aisle"	[MsgId: MMSG-13992]
Action.c(179): Notify: Saving Parameter "seat_Pref = Aisle".	[MsgId: MMSG-13798]
Action.c(180): Notify: Parameter Substitution: parameter "seatType_count" =  "3"	[MsgId: MMSG-13992]
Action.c(180): Notify: Parameter Substitution: parameter "seatType_1" =  "First"	[MsgId: MMSG-13992]
Action.c(180): Notify: Saving Parameter "seat_Type = First".	[MsgId: MMSG-13798]
Action.c(183): Notify: Parameter Substitution: parameter "depart_City" =  "Denver"	[MsgId: MMSG-13992]
Action.c(183): Notify: Parameter Substitution: parameter "arrive_City" =  "Los Angeles"	[MsgId: MMSG-13992]
Action.c(188): web_add_auto_header("Origin") started  	[MsgId: MMSG-26355]
Action.c(188): web_add_auto_header("Origin") was successful  	[MsgId: MMSG-26392]
Action.c(191): web_add_auto_header("Sec-Fetch-User") started  	[MsgId: MMSG-26355]
Action.c(191): web_add_auto_header("Sec-Fetch-User") was successful  	[MsgId: MMSG-26392]
Action.c(194): web_add_auto_header("Upgrade-Insecure-Requests") started  	[MsgId: MMSG-26355]
Action.c(194): web_add_auto_header("Upgrade-Insecure-Requests") was successful  	[MsgId: MMSG-26392]
Action.c(198): Notify: Saving Parameter "numPassengerRand = 3".	[MsgId: MMSG-13798]
Action.c(200): lr_think_time: 5,00 seconds.	[MsgId: MMSG-15948]
Action.c(138): web_reg_save_param started  	[MsgId: MMSG-26355]
Action.c(138): Registering web_reg_save_param was successful  	[MsgId: MMSG-26390]
Action.c(145): web_reg_save_param started  	[MsgId: MMSG-26355]
Action.c(145): Registering web_reg_save_param was successful  	[MsgId: MMSG-26390]
Action.c(150): web_reg_save_param started  	[MsgId: MMSG-26355]
Action.c(150): Registering web_reg_save_param was successful  	[MsgId: MMSG-26390]
Action.c(156): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(156): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(157): web_url("Search Flights Button") started  	[MsgId: MMSG-26355]
Action.c(157): Detected non-resource "http://localhost:1080/cgi-bin/nav.pl?page=menu&in=flights" in "http://localhost:1080/cgi-bin/welcome.pl?page=search"  	[MsgId: MMSG-26574]
Action.c(157): Detected non-resource "http://localhost:1080/cgi-bin/reservations.pl?page=welcome" in "http://localhost:1080/cgi-bin/welcome.pl?page=search"  	[MsgId: MMSG-26574]
Action.c(157): Resource "http://pki.goog/repo/certs/gts1c3.der" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Action.c(157): Downloading resource "http://pki.goog/repo/certs/gtsr1.der" (specified by argument number 13)  	[MsgId: MMSG-26577]
Action.c(157): Found resource "http://localhost:1080/WebTours/images/in_flights.gif" in HTML "http://localhost:1080/cgi-bin/nav.pl?page=menu&in=flights"  	[MsgId: MMSG-26659]
Action.c(157): Resource "http://localhost:1080/WebTours/images/itinerary.gif" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Action.c(157): Found resource "http://localhost:1080/WebTours/images/home.gif" in HTML "http://localhost:1080/cgi-bin/nav.pl?page=menu&in=flights"  	[MsgId: MMSG-26659]
Action.c(157): Resource "http://localhost:1080/WebTours/images/signoff.gif" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Action.c(157): Notify: Saving Parameter "departcity_1 = Denver".	[MsgId: MMSG-13798]
Action.c(157): Notify: Saving Parameter "departcity_2 = Frankfurt".	[MsgId: MMSG-13798]
Action.c(157): Notify: Saving Parameter "departcity_3 = London".	[MsgId: MMSG-13798]
Action.c(157): Notify: Saving Parameter "departcity_4 = Los Angeles".	[MsgId: MMSG-13798]
Action.c(157): Notify: Saving Parameter "departcity_5 = Paris".	[MsgId: MMSG-13798]
Action.c(157): Notify: Saving Parameter "departcity_6 = Portland".	[MsgId: MMSG-13798]
Action.c(157): Notify: Saving Parameter "departcity_7 = San Francisco".	[MsgId: MMSG-13798]
Action.c(157): Notify: Saving Parameter "departcity_8 = Seattle".	[MsgId: MMSG-13798]
Action.c(157): Notify: Saving Parameter "departcity_9 = Sydney".	[MsgId: MMSG-13798]
Action.c(157): Notify: Saving Parameter "departcity_10 = Zurich".	[MsgId: MMSG-13798]
Action.c(157): Notify: Saving Parameter "departcity_11 = Denver".	[MsgId: MMSG-13798]
Action.c(157): Notify: Saving Parameter "departcity_12 = Frankfurt".	[MsgId: MMSG-13798]
Action.c(157): Notify: Saving Parameter "departcity_13 = London".	[MsgId: MMSG-13798]
Action.c(157): Notify: Saving Parameter "departcity_14 = Los Angeles".	[MsgId: MMSG-13798]
Action.c(157): Notify: Saving Parameter "departcity_15 = Paris".	[MsgId: MMSG-13798]
Action.c(157): Notify: Saving Parameter "departcity_16 = Portland".	[MsgId: MMSG-13798]
Action.c(157): Notify: Saving Parameter "departcity_17 = San Francisco".	[MsgId: MMSG-13798]
Action.c(157): Notify: Saving Parameter "departcity_18 = Seattle".	[MsgId: MMSG-13798]
Action.c(157): Notify: Saving Parameter "departcity_19 = Sydney".	[MsgId: MMSG-13798]
Action.c(157): Notify: Saving Parameter "departcity_20 = Zurich".	[MsgId: MMSG-13798]
Action.c(157): Notify: Saving Parameter "seatPref_1 = Aisle".	[MsgId: MMSG-13798]
Action.c(157): Notify: Saving Parameter "seatPref_2 = Window".	[MsgId: MMSG-13798]
Action.c(157): Notify: Saving Parameter "seatPref_3 = None".	[MsgId: MMSG-13798]
Action.c(157): Notify: Saving Parameter "seatType_1 = First".	[MsgId: MMSG-13798]
Action.c(157): Notify: Saving Parameter "seatType_2 = Business".	[MsgId: MMSG-13798]
Action.c(157): Notify: Saving Parameter "seatType_3 = Coach".	[MsgId: MMSG-13798]
Action.c(157): Found resource "http://localhost:1080/WebTours/images/button_next.gif" in HTML "http://localhost:1080/cgi-bin/reservations.pl?page=welcome"  	[MsgId: MMSG-26659]
Action.c(157): Warning -26604: Unsupported "Content-Encoding"  	[MsgId: MWAR-26604]
Action.c(157): Notify: Saving Parameter "departcity_count = 20".	[MsgId: MMSG-13798]
Action.c(157): Notify: Saving Parameter "seatPref_count = 3".	[MsgId: MMSG-13798]
Action.c(157): Notify: Saving Parameter "seatType_count = 3".	[MsgId: MMSG-13798]
Action.c(157): Registered web_reg_find successful for "Text=Find Flight" (count=1)  	[MsgId: MMSG-26364]
Action.c(157): web_url("Search Flights Button") highest severity level was "warning", 9795 body bytes, 2354 header bytes, 43 chunking overhead bytes  	[MsgId: MMSG-26387]
Action.c(170): Notify: Transaction "ToFlightsPage" ended with a "Pass" status (Duration: 5,1852 Think Time: 5,0110 Wasted Time: 0,0005).	[MsgId: MMSG-16870]
Action.c(175): Notify: Transaction "ReservTicket" started.	[MsgId: MMSG-16999]
Action.c(177): Notify: Parameter Substitution: parameter "departcity_count" =  "20"	[MsgId: MMSG-13992]
Action.c(177): Notify: Parameter Substitution: parameter "departcity_19" =  "Sydney"	[MsgId: MMSG-13992]
Action.c(177): Notify: Saving Parameter "depart_City = Sydney".	[MsgId: MMSG-13798]
Action.c(178): Notify: Parameter Substitution: parameter "departcity_count" =  "20"	[MsgId: MMSG-13992]
Action.c(178): Notify: Parameter Substitution: parameter "departcity_11" =  "Denver"	[MsgId: MMSG-13992]
Action.c(178): Notify: Saving Parameter "arrive_City = Denver".	[MsgId: MMSG-13798]
Action.c(179): Notify: Parameter Substitution: parameter "seatPref_count" =  "3"	[MsgId: MMSG-13992]
Action.c(179): Notify: Parameter Substitution: parameter "seatPref_2" =  "Window"	[MsgId: MMSG-13992]
Action.c(179): Notify: Saving Parameter "seat_Pref = Window".	[MsgId: MMSG-13798]
Action.c(180): Notify: Parameter Substitution: parameter "seatType_count" =  "3"	[MsgId: MMSG-13992]
Action.c(180): Notify: Parameter Substitution: parameter "seatType_2" =  "Business"	[MsgId: MMSG-13992]
Action.c(180): Notify: Saving Parameter "seat_Type = Business".	[MsgId: MMSG-13798]
Action.c(183): Notify: Parameter Substitution: parameter "depart_City" =  "Sydney"	[MsgId: MMSG-13992]
Action.c(183): Notify: Parameter Substitution: parameter "arrive_City" =  "Denver"	[MsgId: MMSG-13992]
Action.c(188): web_add_auto_header("Origin") started  	[MsgId: MMSG-26355]
Action.c(188): web_add_auto_header("Origin") was successful  	[MsgId: MMSG-26392]
Action.c(191): web_add_auto_header("Sec-Fetch-User") started  	[MsgId: MMSG-26355]
Action.c(191): web_add_auto_header("Sec-Fetch-User") was successful  	[MsgId: MMSG-26392]
Action.c(194): web_add_auto_header("Upgrade-Insecure-Requests") started  	[MsgId: MMSG-26355]
Action.c(194): web_add_auto_header("Upgrade-Insecure-Requests") was successful  	[MsgId: MMSG-26392]
Action.c(198): Notify: Saving Parameter "numPassengerRand = 4".	[MsgId: MMSG-13798]
Action.c(200): lr_think_time: 5,00 seconds.	[MsgId: MMSG-15948]
Action.c(202): web_reg_save_param started  	[MsgId: MMSG-26355]
Action.c(202): Registering web_reg_save_param was successful  	[MsgId: MMSG-26390]
Action.c(210): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(210): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(211): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(211): Notify: Parameter Substitution: parameter "depart_City" =  "Denver"	[MsgId: MMSG-13992]
Action.c(211): Notify: Parameter Substitution: parameter "arrive_City" =  "Los Angeles"	[MsgId: MMSG-13992]
Action.c(211): Notify: Parameter Substitution: parameter "departDate" =  "11/14/2023"	[MsgId: MMSG-13992]
Action.c(211): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(213): web_submit_data("reservations.pl") started  	[MsgId: MMSG-26355]
Action.c(213): Notify: Parameter Substitution: parameter "depart_City" =  "Denver"	[MsgId: MMSG-13992]
Action.c(213): Notify: Parameter Substitution: parameter "departDate" =  "11/14/2023"	[MsgId: MMSG-13992]
Action.c(213): Notify: Parameter Substitution: parameter "arrive_City" =  "Los Angeles"	[MsgId: MMSG-13992]
Action.c(213): Notify: Parameter Substitution: parameter "returnDate" =  "11/15/2023"	[MsgId: MMSG-13992]
Action.c(213): Notify: Parameter Substitution: parameter "numPassengerRand" =  "3"	[MsgId: MMSG-13992]
Action.c(213): Notify: Parameter Substitution: parameter "seat_Pref" =  "Aisle"	[MsgId: MMSG-13992]
Action.c(213): Notify: Parameter Substitution: parameter "seat_Type" =  "First"	[MsgId: MMSG-13992]
Action.c(213): Notify: Saving Parameter "outboundflighting_1 = 030;472;11/14/2023".	[MsgId: MMSG-13798]
Action.c(213): Notify: Saving Parameter "outboundflighting_2 = 031;420;11/14/2023".	[MsgId: MMSG-13798]
Action.c(213): Notify: Saving Parameter "outboundflighting_3 = 032;446;11/14/2023".	[MsgId: MMSG-13798]
Action.c(213): Notify: Saving Parameter "outboundflighting_4 = 033;386;11/14/2023".	[MsgId: MMSG-13798]
Action.c(213): Resource "http://localhost:1080/WebTours/images/button_next.gif" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Action.c(213): Notify: Saving Parameter "outboundflighting_count = 4".	[MsgId: MMSG-13798]
Action.c(213): Registered web_reg_find successful for "Text=Find Flight" (count=1)  	[MsgId: MMSG-26364]
Action.c(213): Registered web_reg_find successful for "Text=Flight departing from <B>Denver</B> to <B>Los Angeles</B> on <B>11/14/2023</B>" (count=1)  	[MsgId: MMSG-26364]
Action.c(213): web_submit_data("reservations.pl") was successful, 2447 body bytes, 256 header bytes, 12 chunking overhead bytes  	[MsgId: MMSG-26385]
Action.c(238): Notify: Parameter Substitution: parameter "outboundflighting_count" =  "4"	[MsgId: MMSG-13992]
Action.c(238): Notify: Parameter Substitution: parameter "outboundflighting_2" =  "031;420;11/14/2023"	[MsgId: MMSG-13992]
Action.c(238): Notify: Saving Parameter "outboundFlight = 031;420;11/14/2023".	[MsgId: MMSG-13798]
Action.c(241): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(241): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(243): web_submit_data("reservations.pl_2") started  	[MsgId: MMSG-26355]
Action.c(243): Notify: Parameter Substitution: parameter "outboundFlight" =  "031;420;11/14/2023"	[MsgId: MMSG-13992]
Action.c(243): Notify: Parameter Substitution: parameter "numPassengerRand" =  "3"	[MsgId: MMSG-13992]
Action.c(243): Notify: Parameter Substitution: parameter "seat_Type" =  "First"	[MsgId: MMSG-13992]
Action.c(243): Notify: Parameter Substitution: parameter "seat_Pref" =  "Aisle"	[MsgId: MMSG-13992]
Action.c(243): Resource "http://localhost:1080/WebTours/images/button_next.gif" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Action.c(243): Registered web_reg_find successful for "Text=Payment Details" (count=1)  	[MsgId: MMSG-26364]
Action.c(243): web_submit_data("reservations.pl_2") was successful, 2838 body bytes, 255 header bytes, 12 chunking overhead bytes  	[MsgId: MMSG-26385]
Action.c(261): web_remove_auto_header("Origin") started  	[MsgId: MMSG-26355]
Action.c(261): Previous automatically added web header for "Origin" removed  	[MsgId: MMSG-26587]
Action.c(261): web_remove/revert_auto_header("Origin") was successful  	[MsgId: MMSG-26392]
Action.c(263): web_remove_auto_header("Sec-Fetch-User") started  	[MsgId: MMSG-26355]
Action.c(263): Previous automatically added web header for "Sec-Fetch-User" removed  	[MsgId: MMSG-26587]
Action.c(263): web_remove/revert_auto_header("Sec-Fetch-User") was successful  	[MsgId: MMSG-26392]
Action.c(265): web_remove_auto_header("Upgrade-Insecure-Requests") started  	[MsgId: MMSG-26355]
Action.c(265): Previous automatically added web header for "Upgrade-Insecure-Requests" removed  	[MsgId: MMSG-26587]
Action.c(265): web_remove/revert_auto_header("Upgrade-Insecure-Requests") was successful  	[MsgId: MMSG-26392]
Action.c(267): web_add_header("Origin") started  	[MsgId: MMSG-26355]
Action.c(267): web_add_header("Origin") was successful  	[MsgId: MMSG-26392]
Action.c(270): web_add_auto_header("Sec-Fetch-User") started  	[MsgId: MMSG-26355]
Action.c(270): web_add_auto_header("Sec-Fetch-User") was successful  	[MsgId: MMSG-26392]
Action.c(273): web_add_auto_header("Upgrade-Insecure-Requests") started  	[MsgId: MMSG-26355]
Action.c(273): web_add_auto_header("Upgrade-Insecure-Requests") was successful  	[MsgId: MMSG-26392]
Action.c(276): lr_think_time: 5,00 seconds.	[MsgId: MMSG-15948]
Action.c(202): web_reg_save_param started  	[MsgId: MMSG-26355]
Action.c(202): Registering web_reg_save_param was successful  	[MsgId: MMSG-26390]
Action.c(210): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(210): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
